# File: GCAMLandProfit.csv
# Title: GCAM Land Profit from model results
# Units: NA
# Author: XZ
# Description: We pull results to compare unmanaged land value from different sources
# Source: GCAM
# Column types: ccnn
# ----------
region,LandLeaf,Tkm2,Rent_DollarPerTkm2
Africa_Eastern,NutsSeedsTree_NileR_IRR_hi,0.0132738,3.87E+07
Africa_Eastern,NutsSeedsTree_NileR_IRR_lo,0.0132738,2.58E+07
Africa_Eastern,NutsSeedsTree_NileR_RFD_hi,0.349038,3.86E+07
Africa_Eastern,NutsSeedsTree_NileR_RFD_lo,0.349038,2.57E+07
Africa_Eastern,NutsSeedsTree_RiftValley_IRR_hi,0.0108621,5.45E+07
Africa_Eastern,NutsSeedsTree_RiftValley_IRR_lo,0.0108621,3.63E+07
Africa_Eastern,NutsSeedsTree_RiftValley_RFD_hi,0.20122,5.85E+07
Africa_Eastern,NutsSeedsTree_RiftValley_RFD_lo,0.20122,3.90E+07
Africa_Eastern,NutsSeedsTree_ShebJubR_IRR_hi,0.0015627,1.08E+08
Africa_Eastern,NutsSeedsTree_ShebJubR_IRR_lo,0.0015627,7.22E+07
Africa_Eastern,NutsSeedsTree_ShebJubR_RFD_hi,0.0575267,1.14E+08
Africa_Eastern,NutsSeedsTree_ShebJubR_RFD_lo,0.0575267,7.60E+07
Africa_Eastern,NutsSeeds_AfrCstE_IRR_hi,0,0
Africa_Eastern,NutsSeeds_AfrCstE_IRR_lo,0,0
Africa_Eastern,NutsSeeds_AfrCstE_RFD_hi,0.0480891,5.47E+07
Africa_Eastern,NutsSeeds_AfrCstE_RFD_lo,0.0480891,3.65E+07
Africa_Eastern,NutsSeeds_AfrCstNE_IRR_hi,0.0067032,5.49E+07
Africa_Eastern,NutsSeeds_AfrCstNE_IRR_lo,0.0067032,3.66E+07
Africa_Eastern,NutsSeeds_AfrCstNE_RFD_hi,0.0130558,2.13E+07
Africa_Eastern,NutsSeeds_AfrCstNE_RFD_lo,0.0130558,1.42E+07
Africa_Eastern,NutsSeeds_AfrIntN_IRR_hi,0,0
Africa_Eastern,NutsSeeds_AfrIntN_IRR_lo,0,0
Africa_Eastern,NutsSeeds_AfrIntN_RFD_hi,5.76E-05,7.10E+08
Africa_Eastern,NutsSeeds_AfrIntN_RFD_lo,5.76E-05,4.74E+08
Africa_Eastern,NutsSeeds_CongoR_IRR_hi,0,0
Africa_Eastern,NutsSeeds_CongoR_IRR_lo,0,0
Africa_Eastern,NutsSeeds_CongoR_RFD_hi,0.0638684,3.60E+07
